标题,标题链接,缩略图,room,来自经纪人,infor,listjjr,money
（本网推荐）免费看房！五马街，人民路，可直接领包入住！,https://wz.58.com/zufang/59541239533965x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw6DMBBF0d24Hv95xSyAOguIRowViAQmMRbK7qFLc4sj3bYoW59o8MhwDjbGEIl8AJAom7n2VkZlnwB3JydCcNaaNsv2-nTZ-OyrvJeiUv94HzkOZFQOedT-nQqTEX0ev73wfgFQRL8jdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,林日将,五马街105号小区,林日将,800元/月
(可月付短租)时代广场，火车站车站大道等多套精简装修房屋出租,https://wz.58.com/zufang/49820240880697x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkdowNzuADMPcAlYWjQiUIbYhQbw9b1__06-IagfuIgIyYIjOR9N2AIChdmEureXRFYkqU4m0kxCnU2bbXp9mmZ1vtvWS38o_3MbBAcDvsUdp3ygrB_Hn89qz7BVXeKvl1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,庄迁伟,时代公寓,庄迁伟,1000元/月
（免费带看，登记）五马街精装公寓多套，商业街旁，性价比之选,https://wz.58.com/zufang/81934428813403x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdhMntgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpOqQAnIYlRppwxAyQUkQIUljZ6vbgmZqKCERGQBSD0xbb5NWzTz3jaY61u7cT_oMwQ3A67tvG-V4Vgfju-e9X9B3VpNQ51AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"平安易居                            
                                                    
                                                                田洪运",打铁巷9号楼,田洪运,600元/月
（免费看房！）锦绣路多套好房，直接领包入住，急租直接领包电话,https://wz.58.com/zufang/82670934653402x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkdpy4sQcfgJkDIAtHtEg0hTSquD3dWL_e74trlFwiQWREiUSZKGWEnApimNvo9eKahBHSJCeYmIVDn219vIeteoyXPZfq1v7xPAoxBLfdrm187lUhmN_271Z1-wGYCRhzdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,林日将,"蒲鞋市68,76弄小区",林日将,1000元/月
（免费看房！）欧洲城850到1500，全新多套出租，可直接住,https://wz.58.com/zufang/59542047800368x.shtml?compressed_params=H4sIAAAAAAAAA0XLuw3CMBAA0G1c-37xufAA1AyATpyVBIk44FiI7aFL-6TXVy8gSpKiAmIGERZgBJ6UJYWljV4vXmjKmTgyMSZA0tAX2-bXsK18xtMea3VrJ_5HEo3B7bBrG-97LTGY347vXsv-A9QziQ91AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,林日将,欧洲城(商住楼),林日将,850元/月
（免费看房！）五马街，马鞍池，附近多套出租，可直接领包入住！,https://wz.58.com/zufang/60386883437355x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kjl27dgc_gJkHIAtHbZFoCmmE-D1sXU-6toYB68CSFRAnYCYGQqBRiSUttbdyCRs0C4mOIJOgEKa2-Da_um_26U9_rCW8nvgfwppT-OHX2t_3Yjl53I7vXmz_AT2iI7F1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,林日将,"马鞍池东路12,14号楼",林日将,1000元/月
（免费看房！）五马街，纱帽河，公寓多套出租，急租直接打我电话,https://wz.58.com/zufang/81958433480028x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkTmo7dgYfgJkDIAtHtEg0hTSquD3d-OOTfl9cE0sB4OmsJCJEwoITC2UJcxu9XlxBShTIggk4M-fQZ1sf72GrHuNlz6W6tT-eB5PE4LbbtY3PvWoM5rf9u1XdfnT-o151AAAA,https://pic7.58cdn.com.cn/anjuke_58/d99b5ecf9dc0d8c1ca02ae0bf2aa8742?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        25㎡,林日将,新街公寓,林日将,1000元/月
（免费看房！）五马街人民路大小南门附近精装多套单身公寓出租,https://wz.58.com/zufang/59538580564405x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQrDMAxA0dt4th1LlgYdoHMPUERkmhQaJ3FM6O3TTp0-PPhtNgkYMhIDxsgBIEHyjIC_uKn2Vm4mAzIRI8ZMQyKOrk26PLeui5z9ra-5mNY_fo8M5J3poffa97GId2qP47MWWS8YvfeYdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,林日将,开太大厦,林日将,1000元/月
(免费看房，）马鞍池，银泰世贸大厦，单身公寓出租，可直接拎包,https://wz.58.com/zufang/59544417131067x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkTho7tgcfgJkDIAtHtEg0hTSquD3d-OOTfl9cE7HkTNOZJEQABIGJGAuHuY1eL665iBTIFBkYSoqhz7Y-3sNWPcbLnkt1a388D0KOwW23axufe9UYzG_7d6u6_QCj_bo2dQAAAA==,https://pic8.58cdn.com.cn/anjuke_58/e8662c7f3daf18556472532eb59b59c2?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        30㎡,林日将,"马鞍池东路12,14号楼",林日将,800元/月
（免费看房，）五马街，可直接领包入住，急租直接打我电话,https://wz.58.com/zufang/81576642506205x.shtml?compressed_params=H4sIAAAAAAAAA0WLMQ6DMAwAf5OZEDt2Bj-AuQ-oLBwVKkFoQ4T6e7L1pFtOurqaeOIUAo2d5BEBEBKMxBjZLaXVPJkEBp8iYRd8DOTqovvr03SXq236XrNp-cd-EPLgTE99lPadswxO7Xn-jizHDTZjkEV1AAAA,https://pic5.58cdn.com.cn/anjuke_58/3613577ad40e6fd7afa8454d97c81972?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        25㎡,林日将,新街公寓,林日将,1000元/月
(免费看房，实拍）附二医旁边，多套好装修出租，急租请打我电话,https://wz.58.com/zufang/59541316330398x.shtml?compressed_params=H4sIAAAAAAAAA0WLSQ7CMAwAf5NzFjuxD34AZx6ALBzRItEU0qji9-TGaE4jTV9NQiFOqcQJB0QABIZYCDO5pY1eLyYpM0fI5LMP0-T6otvjPXSTc7z0uVbT9o_zKEjemR56beNzr-Kd2u347lX2HyDlQc51AAAA,https://pic2.58cdn.com.cn/anjuke_58/142e90cf0c9146157cc47ec26ab2170e?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        25㎡,林日将,湖萃湾,林日将,500元/月
奥林匹克广场工人文化宫（月付）附近多套房源出租 可短租月付,https://wz.58.com/zufang/83412876376795x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdhw7Tgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpGEpKSgBCnyEyMhaaMnIDD0kavF1cCEQDmhFE45Rz6Ytv8GrbpZzztsVa3duJ_CBcIbodd23jfq0Iwvx3fver-A2qYGAZ1AAAA,https://pic1.58cdn.com.cn/anjuke_58/e56937cbd7fdb86399caf75addfbc123?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        39㎡,陈春蕾,新园觉小区,陈春蕾,800元/月
百里路中心医院附近全新奶油风，家电齐全，可以月付，拎包入住,https://wz.58.com/zufang/59276042252828x.shtml?compressed_params=H4sIAAAAAAAAA0WLQQ6DIBAAf8MZtuwCh31Azz7AbLpEbVJRkRh_X3rqaZKZTF2UHblAMSEBJIfo0dtESD-YubSan8oPIuw1gHeUAIKps6zT3mTlq33kvWSV8pf9CBitUTllKO14ZbZGdDzvLfP2BbSL6qh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,"阿洪房产                            
                                                    
                                                                陆桂羽",百里安居小区,陆桂羽,900元/月
不用中介费，五马街附近，一室一卫一厨1000至1500可月付,https://wz.58.com/zufang/83296707951067x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kjuM4sQc_gJkHIAtHtEg0hTRC_B421pNurK4ATFUYJSUBopxrQqBIBTEsfY52cs2xJECSikWYCoex2HZ7Ttv0PR92X5tb_-NvVOIY3A479_m6No3B_HJ89qb7FxuAcRh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,郭翔,新街公寓,郭翔,1000元/月
蝉街商厦 1室1厅1卫 电梯房 配套齐全 精装修,https://wz.58.com/zufang/83404379635802x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAwAwN9ktkkc48EP6NwHVFYdFSqVACFC_T3dup50bXbFmGGMwjIMgkSJAGISkQwcptpbubkmYBJkSRIxI1Boky2vrduiZ__Yey5u9Y-_wTRCcDvsXvv-LArB_HF816LrBeDCCYJ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,"君勇房屋介绍所                            
                                                    
                                                                王素兰",蝉街商厦,王素兰,800元/月
房间宽敞明亮 诗和远方很贵，但找我房租不贵,https://wz.58.com/zufang/82630420037979x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9ktuO6dgY_gJkHIAtHtEg0hTRC_B421pOur2GIylKUSs4FmadJMiEDz0RpaaPXUxgVmZURM0gBJk198e32HL7Zezz8vtbw9sffEFZI4Yef23hdq0HyuByfvdr-BfcCBs51AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,"扬舲公寓房产                            
                                                    
                                                                田健",小南路82号楼,田健,960元/月
附二医精装修700至1500多套，可以月付，拎包入住,https://wz.58.com/zufang/83381027874525x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdpy4tgc_gJkHIItEbZFoCmmE-D1sXU-6vhaLaQJJyoqokSgTQMqqOgGHpY1eL8UyMCqKYhKKLBL64tv8Gr7ZZzz9sdbi7cT_YBIIxQ-_tvG-V4Pg5XZ892r7DxVBpkJ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,林格选,"蒲鞋市68,76弄小区",林格选,880元/月
公寓直签不收中介费，实价实租，有电梯和停车场，采光好。,https://wz.58.com/zufang/82640792199386x.shtml?compressed_params=H4sIAAAAAAAAA0XLTQoCMQxA4dt03TSNaRY5gGsPIMGU-QGno50i3t7ZuXrwweuLK0AhloKSkgBRzpwQKNIFMcxt9Hp1ReECXJg401kJfbZteg3b9DOeti7Vrf3xPJhKDG6H3dp4P6rGYH4_vnvV_Qf6viFrdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                谢欧阳",小南路82号楼,谢欧阳,899元/月
公寓直签不收中介费，实价实租，有电梯和停车场，采光好。,https://wz.58.com/zufang/82640958002395x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ6DMAxA4dtkdv6IPfgAzD1AZdVRAQkChAhx-2br-j29OitbPwB6SuQc2RhDBPCBiAZIZiqt5lG5Z7TdEJzzAdHUSbbv0WTju62yzFml_LEfKSIYlUtepZ2fzGBE39ezZ95_V7N9WXUAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                谢欧阳",小南路82号楼,谢欧阳,999元/月
公寓直签不收中介费，实价实租，有电梯和停车场，采光好。,https://wz.58.com/zufang/82640881520605x.shtml?compressed_params=H4sIAAAAAAAAA0WLSQ6DMAwAf5Ozs5jEBz-Acx9QWXVUQIIAIUL8vrlVmtOMps7K1g-QPEVyjixiQAAfiGiAaKbSah6Ve06WoINoIThTJ9m-R5ON77bKMmeV8pf9iJjAqFzyKu38ZAYj-r6ePfP-A6X8ylh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                谢欧阳",小南路82号楼,谢欧阳,999元/月
公寓直签不收中介费，实价实租，有电梯和停车场，采光好。,https://wz.58.com/zufang/82640928253274x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkjoONncEH6NwDVFYdFZBKaEOEuH3Zun6932ZXIBmIo0BKGYiQABPgKEgcptpbubkOmQXyCJzwwsKhTba-Pt1WPfrblrm41X-8DiaJwW23e-3fZ9EYzB_7uRXdfhQ2Avh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                谢欧阳",小南路82号楼,谢欧阳,999元/月
公寓直签不收中介费，实价实租，有电梯和停车场，采光好。,https://wz.58.com/zufang/82640897712346x.shtml?compressed_params=H4sIAAAAAAAAA0XLQQ7CIBBG4duwhp-ZAos5gGsPYCYOsTWxVClpvL3duX1fXl9MAiVKOXoCSmAmRqYygaNnN7fR68UklpRDAaaIUwHXZ10f76GrHOOlz6Watn88j8TZO9Ndr2187lW8U7vt363K9gM498k-dQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                谢欧阳",小南路82号楼,谢欧阳,999元/月
公寓直签不收中介费，实价实租，有电梯和停车场，采光好。,https://wz.58.com/zufang/82640980198491x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kth27cQY_gJkHIItEbZFoCmmE-D1sXU-6vhZDTpw0AhNlFGEh5TyRRJCwtNHrpVjMSQlICVF1Qgp98W1-Dd_sM57-WGvxduJ_JFEIxQ-_tvG-V4Pg5XZ892r7D0BNeNZ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                谢欧阳",小南路82号楼,谢欧阳,999元/月
公寓直签不收中介费，实价实租，有电梯和停车场，采光好。,https://wz.58.com/zufang/82640946417882x.shtml?compressed_params=H4sIAAAAAAAAA0XLTQrCMBBA4dtknaSZv8UcwLUHkMEJtoJNNQ3F26srVw8-eH1xTZgIWQBzlgRQoERBwF_C3EavJ9dJiJNwEYKJYubQZ1tvz2GrHuNh96W6tT9-DwKOwW23cxuva9UYzC_7e6u6fQAU_pm_dQAAAA==,https://pic2.58cdn.com.cn/anjuke_58/c507d7dcfb36a2c026486ab8c66216e1?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                谢欧阳",小南路82号楼,谢欧阳,799元/月
公园路136弄小区 1室1厅1卫,https://wz.58.com/zufang/46263724728353x.shtml?compressed_params=H4sIAAAAAAAAA0WLOQ6AIBAAf0PN4Qpb8ABrH2A2QgQTRcWN8ffSWU0ymak5eKUcWHQGtUYF0HVWGwUSemNEKlzj0BpEtE062aB7EDXRvpxMu394ozXHQOWX7bDgpAh001j4mqOXgsJ0v0f0xwdcHxczdQAAAA==,https://pic8.58cdn.com.cn/house/image/publish/house/image/publish/n_v357dd6ae2a9fe47c384eaab48313fdfd3.jpg?w=240&h=180&ss=1&crop=1&cpos=middle&t=1&srotate=1,1室                        43.01㎡,,公园路136弄小区,,850元/月
鼓楼街小区 1室0厅1卫,https://wz.58.com/zufang/43927005440013x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7DIAxA0dsw2xjHeOAAnXuAyiqoSaSGtARFuX3Zuj7935acECOLRlLvFZlDEE_IwBORm2tv5TYaAZgGImpQFnJttu316bals79tXUq2-sdxCEdw2Q671_59lgTO8uO49pL2H6_jldx1AAAA,https://pic3.58cdn.com.cn/house/image/publish/house/image/publish/n_v363f2f3be527040dca680e03868c90eb2.jpg?w=240&h=180&ss=1&crop=1&cpos=middle&t=1&srotate=1,1室                        23㎡,,鼓楼街小区,,660元/月
广化桥精装电梯房900至1500可以月付，家电齐全，拎包入住,https://wz.58.com/zufang/59066052404497x.shtml?compressed_params=H4sIAAAAAAAAA0XLuw3CMBAA0G1c3zd2ihuAmgHQibNIkIgDjoXYHjraJ72-hqFkyYVBiGZUFaUi80TKoGlpo9dTGE9cBBmIMwojp774dnsO3-w9Hn5fa3j7429kLZDCDz-38bpWg-RxOT57tf0LVUZaSHUAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,"阿洪房产                            
                                                    
                                                                陆桂羽",西城路87号院,陆桂羽,900元/月
广化桥精装修电梯房800至1800可月付，家电齐全拎包入住！,https://wz.58.com/zufang/57383622391068x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kduLYiQc_gJkHIAtHtEg0hTRC_B421pNurK4RGSpKkZQkEmUCwCwiDCUsfY52csWcEDhKjYWJM4Sx2HZ7Ttv0PR92X5tb_-NvFKoQ3A479_m6NoVgfjk-e9P9CzE1p9R1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,陈宗方,西城路87号院,陈宗方,900元/月
好房推荐 欧洲城900至1500一室一卫一厨家电齐全提包入住,https://wz.58.com/zufang/59353885463339x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkThwbh8EH6NwDVBaOCkglQIgQt4et63_6dTIJPXIgHxJAH4iQKCJ4jAzgxtJqfpnEjgmIuscYEyZXR12-W9NFzvbTecqm5R-fgyl5Z3rou7R9yOKd2ue41izrDQ3Eg9l1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"阿洪房产                            
                                                    
                                                                王维洪",欧洲城(商住楼),王维洪,850元/月
环城东路58-62号小区 1室1厅1卫,https://wz.58.com/zufang/83394781022173x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kTuI4tgc_gJkHIAtHtEg0hTRC_B421pNurK4pMZIwSM6SEEuhDAkjVoCw9DnaybVEKpUFciURJg5jse32nLbpez7svja3_sffIOQY3A479_m6No3B_HJ89qb7Fy2ENrh1AAAA,https://pic8.58cdn.com.cn/house/image/publish/house/image/publish/n_v3ed62ebca1b584d36b5559f6252476dea.jpg?w=240&h=180&ss=1&crop=1&cpos=middle&t=1&srotate=1,1室                        30㎡,,环城东路58-62号小区,,1000元/月
急租 可短租月付家电齐全拎包入住解放军906医院温州中心医院,https://wz.58.com/zufang/83404445346397x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAwAwN9kdpw4MYMfwNwHVFYdAZUgtCFC_T3dWE-6tph4oOQRkBAHTxQjp5ARGDm4ufZWRpMImQZMIQEyeY6uzbpNn66bnH3V91JM643_kYnBmR76qP37KgJO7Xn89iL7Bd5Hxnp1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,"君勇房屋介绍所                            
                                                    
                                                                王素兰",招贤小区,王素兰,800元/月
急租 温州交通技术学校（可短租可月付,https://wz.58.com/zufang/83413560916061x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7CMAwA0NtkdmIbJ4MPwMwBkIWjfiSaQhpV3B421ie9vrhGEpKMQCmVyEycMpVLYgQOcxu9Xl0JRKBgZIyZRDD02bbpNWzTczxtXapb--NvCGcIbofd2ng_qkIwvx-fver-Bdc8i6d1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,段俊权,瓯海宿舍,段俊权,800元/月
急租 五马步行街温州人民医院（可短租可月付,https://wz.58.com/zufang/83360347448026x.shtml?compressed_params=H4sIAAAAAAAAA11SXY-jOBD8N3ljB4cP44folFmYcQQBkyM4zEsEmIFA7GQgkCG__jp7uzrpLGGjVldXdXUPJ7FC2CGGgZdwCLIs07RMYi6xY9nOormMQ7URK1PH-tJBzpIsCYakxdDkqv4ac7W6jzJvT5XIL_8FAYEtR1-I_Jb_fRn7slotFzfgsgpriS0hNEJsopnCdrRiaVra0jAtHZuFVSBjkYvjbb5Wq_Z7ca5qgJ9XLy_Pv_J8KrsflvOjvMiXdpTXv255X1e31fD4Cg6vhujziO-n7POw3TVyjrYDIkgh2SnkBaz1DNWW0yGP0PXjnu4TXAxURWNTZqyRwUDdibUkZWtWqEcWqWm0h1kaitqvI8f2yCVinhsryOvbwmCogHzAtq6fUK9jKHn0rWsoXjx6qseMhj7EOpW4gWqTLqHuEbC-QqobWrhPXcAoecZBG-ikOgJ9geKQQxP_XqiUUb49Xqp3UhZp6Ko0ep-z6Hz4Pl-v8_m6Fsmznoft_Tr-HtfQc707bvAX33y83dQpbsYZZ5v6TaunN1ufdt9yjo_1dNfGBov9x_2mPDeFD_iKB6Ne3FOZMRSCXikUcg2WuFNSs59X-jMe1u_vMtxoPQ87hW_x7558NZcdmyCGwnSk4YPlWaYmpg0zbhiSKZtlLPn4yiaJRloagIkUDzPgBP_0idEEuEkE8_mfDgk-luCRixgBnlMX_9KaGzADMoFHButcf4BY4uH26uJ2LzZbFUZ-GEgyZFrm1Zs0zPDWopnPeOIoWjqwD04P_sIsHrAXwCtF3xIBmsDPxP8zp0OQPecAfal_X152qnOF5NAj2hVjnkWgMxrovWCcpJLDLpyyZ02hWj2TfPeqqPJ_1fRc8Aoq5R3so3sEjw3YiziZI7Ffd74Ej0YeBgzZXDXuQ6J7Icmirz6r_qQ-Lyv0D3HWd7SpAwAA,https://pic3.58cdn.com.cn/anjuke_58/10f50cb9396fbd69ef9e79dea9335c67?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        39㎡,段俊权,金达商厦,段俊权,1000元/月
急租 五马步行街温州人民医院（可短租可月付,https://wz.58.com/zufang/83360347448026x.shtml?compressed_params=H4sIAAAAAAAAA11STXOjOBD9N74xkcAYOLim4kBGWYgtstgKc3EB8gAidGxkEcOv3_ZObW3tHvjobr3u1-9Jt3JNibuiNrFd2w6o6y6X_srxbOLbvrNoPo0-vcj1knjE9qlvB3bg4aGFbgqoL6aA9ZfpC9WeZPH5bxIRnuuThSyuxZ-fZqhOa3txxVlueSJLm1ArcCS1lnLlWoFXUst3XbsqiC-pIxeFPF6n82mtbouPU43wj_XDw_2v-mir7pvrf6s--wdl-vP3azHUp-taz5fkfePIodiJ_Zj_en99a_pp96ppQIH2HdAo4SpyQFXje7Gj559fh33mlZoFXc-2qWF8o6fe6Sc4cEXyvs13RgRUT9vciCyHMZp7QVIIwhRYOA6qdDgtR66qnKswzljUcZrNgwodEOU8MJJyto0x10EWJqCyLmPhEbExUOi0wnfbJRznYx65IU9GKIh-5BRiCLzHaJZRNCevP3bLZqOXpa9_WZvn29PTWfx42teNtWdYu8YQhTSbvOPeu5RmMquXKc3rkefktUv1o7H6-kuS5u1m6lVXj_89d0Pumt35hzsQ2xzYfScikffIGaSDimKOhp8fyw9o0z_Ok_fTsCcJKr4B-3u3NGMlHRQ4BrXSjIy8qQ78sUpMKzdGWI2eIDUTb4apT7A2myhMB1ZJ1G3HBfoith3OdgYW5f_jMd615HSboofxP_plLPPvHoAIUWeM2zzOojCOxhU-l9pQb4je-FgVl-eX0Ev2bzw2NL9krO80YrSAUYvyrnsKAnKci7sGDr9zisIOe6Va4V71ATFhB-jV72-Ie5OYT88WqGjG-DAwXkKb50b1UrMy6QXm1FZCw1egViVgPfvdM0at8C5mR3Qe-xM5qAy983z04ZhNXw3QZzGw-x2sZhAYN_AXSMo9JZ4DAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,段俊权,金达商厦,段俊权,1000元/月
急租 五马步行街温州人民医院（可短租可月付,https://wz.58.com/zufang/83413771687259x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtktp2YmMEH6NwDVFYdFZBKaEOEuH3Zun6932ZXBB6QgJhoROaUZIiZQEhimGpv5eaaIOfLYEQRHEVCm2x9fbqtevS3LXNxq_94HZkFgttu99q_z6IQzB_7uRXdfpKFkFR1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,段俊权,金达商厦,段俊权,800元/月
急租！奥林匹克广场工人文化馆,https://wz.58.com/zufang/83413777705562x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ6DMAxA4dtkdpwf48EHYO4BKgtHhUoQ2hCh3h62bk-f9Npi4kOGITAxIvuUYgIIkZkzkJtrb2U0iUDkERgQs7_TtVm316frJmdf9b0U0_rH-6A0gDM99FH7dyoCTu15_PYi-wWd7rwCdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,段俊权,新园觉小区,段俊权,800元/月
急租！解放军906医院欧洲城新天地（可短租可月付）,https://wz.58.com/zufang/83413729539037x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkjoONk8EH6NwDVBaOCkglQIgQt4et69f7dTIBih2xjxBCAiIkwADYRyR2Y2k1v0zQMwMgd30Kj02ujrp8t6aLnO2n85RNyz8-B1P0zvTQd2n7kMU7tc9xrVnWG_LFvjl1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,段俊权,招贤小区,段俊权,800元/月
急租！温州医学院附属第1医院（可短租可月付）,https://wz.58.com/zufang/83413470639709x.shtml?compressed_params=H4sIAAAAAAAAA0WLMQ6DMAwAf5PZiWI7GfwA5j4AWXVUqAShhKjq7wsT00mnuzabePJMKSOFkD1ixAiZkC64qfZWBpMIzJA8Zk5nFNi1SdfXp-sq377oey6m9ZbnwZjAmR76qH1_FgGnNh6_rcj2B5nvMU11AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,段俊权,新街公寓,段俊权,800元/月
急租！银泰百货温州世贸中心   可短租可月付,https://wz.58.com/zufang/83413482680922x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkthO7DoMP0LkHqCwcFSpBaEOEuH3Zun6932ZX5JxYIGOMAzITI0WkWyaWMNXeyt2VQC6RMA0IJJJCm2x9fbqtevTF3nNxq_94HcIZgttuj9q_Y1EI5s_93IpuP384F8V1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,段俊权,马鞍池社区,段俊权,800元/月
