标题,标题链接,缩略图,room,来自经纪人,infor,listjjr,money
免费看房实拍，西城路广化桥新装880至1500家电齐全入住,https://wz.58.com/zufang/59576729408012x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kduK4tgc_gJkHIItEbZFoCmmE-D1sXU-6vhaLUYhVUFPSSJQzJ4wENCGGpY1eL8WQAZl1EgDJqhT64tv8Gr7ZZzz9sdbi7cT_YBIIxQ-_tvG-V4Pg5XZ892r7D8fpFjl1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,西城路87号院,徐琼敏,880元/月
免费看房实拍，银泰世贸附近新装一室一卫一厨家电齐全提包入住,https://wz.58.com/zufang/59589302654225x.shtml?compressed_params=H4sIAAAAAAAAA0XLQQ7CIBAF0NuwHmB-GRZzANcewEyEtDWxVCkx3l533b7k9bWo58RJInEI2QOMIJyngEhwSxu9XorGRIiSCZi8ELLri23za9imn_G0x1qLtRP_I0HIFTvs2sb7XpWcldvx3avuP8zWDNZ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,"马鞍池东路12,14号楼",徐琼敏,880元/月
免费看房现场实拍，附二医银泰附近新装家电齐全一室一卫一厨随时,https://wz.58.com/zufang/59588152484643x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtktpPYSQYfgJkDIAtHtEg0hTSqentg6vSlJ_0-myBj4lyIvS9IFClCYeJ_3NRGrxeTkIB8xBxCShkLuD7p8ngPXWQfL33O1bSd-DsSZXCmm17b-NyrgFO7bcdaZf0Cv3lXOHUAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,"蒲鞋市68,76弄小区",徐琼敏,880元/月
免费看房现场实拍，江滨中心医院附近新装一室一卫一厨家电齐全提,https://wz.58.com/zufang/59588655166984x.shtml?compressed_params=H4sIAAAAAAAAA0WLSQ6DMAwAf5OzE7BNDn5AzzwAWXXEIpXQhqjq7xtOnEYazZTVxJNnGiJSCNEj9thDJKQLbsm1pIdJx4AdtJCDJwzsyqL7_K66y7e-dFuTab5lOxgHcKanjrl-nknAqU3n70hy_AGoHK4NdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,打绳巷66-80号小区,徐琼敏,880元/月
免费看房现场实拍，欧洲城新装880至1500家电一室一卫一厨,https://wz.58.com/zufang/59568116104879x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkjg22yeADdO4BKgtHhUolQIhQb087dfrSk36dXYFBeEjEiAmIeupjYuJfwlRazTfXTiKyCIggdIkx1MmW59Zs0bO97TVnt_LH7yE0xOB22L20fcwag_nj-KxZ1wue6GXrdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,欧洲城(商住楼),徐琼敏,880元/月
免费看房现场实拍，五马街中山公园欧洲城附近一室一卫一厨家电,https://wz.58.com/zufang/59597908518286x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdhLbiQc_gJkHIAtHtEg0hTRC_B421pNurK4RC5aaAVOSSISUKgonykBh6XO0k2suwCjAwFGkRg5jse32nLbpez7svja3_sffKFQhuB127vN1bQrB_HJ89qb7F_5eioB1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,徐琼敏,欧洲城(商住楼),徐琼敏,980元/月
免费看房现场实拍，西城路广化桥880至1500家电齐全提包住,https://wz.58.com/zufang/59569139272342x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkdhwbu4MPwMwBkIUjWiSaQhohbk83_vik35ewTEKiBQhxyszEqDSdkAtwmtvo9RxWBFBBM6EgHKU--3p_DV_tM57-WGp4--NxCCuk8N0vbbxv1SB5XPfvVm37AYsc9p11AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,西城路87号院,徐琼敏,880元/月
免费看房现场实拍，西城路广化桥电梯880至1500家电齐全提,https://wz.58.com/zufang/59578897155747x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQrDMAxA0dt4llxLtgcdIHMPUERkmhQSp3VM6e2bTJk-PPhtNkHGyCkTe5-RKFCAzMRn3FR7K4PJLUIAikiYIJH3rk26Pt9dV_n2RV9zMa0XHkekBM5013vtn7EIOLXH_tuKbH_AIfEudQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,西城路87号院,徐琼敏,880元/月
免费看房现场实拍，银泰世贸新装附近一室一卫一厨家电齐全随,https://wz.58.com/zufang/59587989016080x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7CMAwA0Ntkdhw7n8EHYO4BKgtHpEg0hTRC3B421ie9sZl4SpRyAEIsnpkYM5WIHIBd63PUi0lIwIhQoGT2MaIbTffbc-ou7_nQ-1ZN-x9_I3EGZ3rq0ufrWgWc2np-jirHF_MhDS91AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,"马鞍池东路12,14号楼",徐琼敏,980元/月
免费看房银泰世贸附近一室一卫800，可以月付，家电齐全,https://wz.58.com/zufang/83405104888923x.shtml?compressed_params=H4sIAAAAAAAAA21S25KiMBD9G9_YIXJ_sLZkyEwsEIIbZZgXi4uCMMkoGBS-fpt92aqtfWhI-pLTp_v0l3KFkG1Yjq05y6WDDEPXraWGDNUwNW1Rf8v-tClXumqZKlItG1nI0A170deZqG4yE6uH5FlzOZXZ918nVFiGrS7K7J79-pZdcVotF3fAypYAYOqGUjjGWdEddak4xumsqEaR20uztEukL7LyeB-vp1XzXHydKij_Wr28zKfi61K0Pwz7R_HNXxrJrz_vWVed7qt-ugUfrlZ2WZTsh_T8sd3VfIy2PXIQbVgpCEu7xtE6UqCPLELXz8dhz6y8JyygDY67Ro36UaSQd6CNdKWbRrwO05685XzwStqYphxFJJmndQ2bBAljmoRxR5jPCG4p4i3UBl3jBRBLKXF8ilgrGNwb1jLiHQXxfIFE2zfwvbQB5Mx-wHeQICpYGFFS-BRbazyVGE_B9j3Sa7fXc7s_K-7b8_X1mry_7qta2ROI3X2BvYmN1nFv3XI5SnMzxmk10FTdtnG_lgqvHqVa7568tpDc3cz9On7KNcym2h03n23MLmnMsAc8irnvSCQspQkfRBJCX0xjhPvqYL53iXe81or5GMIvSlhbIa8FXjN-zMmjliRvxVS6on5TeoI1QcShm7llqcaJiCmR0B8fZIJ9QfKJIq8EzJY2KqIIw4zwQP_tA3kDYCGITXOPfePNvbZ9wgKRYJgxnu8HMJ-F9BWH9Lwb1JjkFtm47HypHv5mKAke1ZuBvUFkWixcDVFXi2AvsQAt0CYHviHsNJwoCX3w-7CbWGDr9ARM4Agb-_MHDixgozfnQQ0uQS8RHTnoBbiDXui4q0FPJR8KTSQy79Y4pvN7YAx08p_d-_vt7rhnHqJrnHZjEXB4nyOu0RprvwGIroNHmwMAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,林格选,"马鞍池东路12,14号楼",林格选,800元/月
免费看房银泰世贸附近一室一卫800，可以月付，家电齐全,https://wz.58.com/zufang/83405104888923x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ6DMAxA4dtktsmP48EHYO4BKgtHhUoQ2hCh3h62rk_fa4sJ-gTZM_EwMMYYIoAPzJyA3Fx7K6NJAEqAQBkJb5Fdm3V7fbpucvZV30sxrf94HxQzONNDH7V_pyLg1J7Hby-yX5uF1VB1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,林格选,"马鞍池东路12,14号楼",林格选,800元/月
免中介 车站大道时代广场财富中心多套精装修公寓出租,https://wz.58.com/zufang/83414724786010x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQrDMAxA0dt4loUk24MO0LkHKKIyTQqN0zom5PZtp0wfHvw-u0aJSXJhQSyRmZigCMs_YWqj14srQUpIGDEzlwgU-mTL4z1s0X287DlXt3bi70icIbhtdm3jc68Kwfy2HWvV9Qsxm7zwdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32.00㎡,丘舒晴,时代公寓,丘舒晴,900元/月
,,,,,,,
免中介 解放街 县前头 铁井栏 解北大楼1室1厨1卫1000,https://wz.58.com/zufang/83249122652253x.shtml?compressed_params=H4sIAAAAAAAAA0WLSw6EIAxAb8O6QCu46AFcewDTWDI6iaIiMXN72c32fcqqbDFgiB7Qud4SIbmIfefIA5kl15IGZQTqAAmattFHMGWR_XNW2fmpm3zXpJL_sB2BWqVyy5jrNScGIzrdvyPx8QLAyfrZdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,解北大楼,唐小攀,1000元/月
免中介 金鹰大楼 纱帽河 五马步行街附近公寓 1室1厨1卫,https://wz.58.com/zufang/83248434526045x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdly7jgc_gJkHIAtHtEg0hTRC_B421pOur2GZhKRMQIiamYmxkM7IE3Ba2uj1FEbArDyrMIpm0NQX327P4Zu9x8Pvaw1vf_wN4QIp_PBzG69rNUgel-OzV9u_em62x3UAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,金鹰大楼,唐小攀,1000元/月
免中介 时代广场 车站大道 财富中心多套一室一厅精装修出租,https://wz.58.com/zufang/83414719315163x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQrDMAxA0dt4toUky4MO0LkHKKIyTQqN0zom5PZtp0wfHvw-uyZOmaUQA5REhISxMPE_YWqj14srxpwBE4KAMLKEPtnyeA9bdB8ve87VrZ34OzJJDG6bXdv43KvGYH7bjrXq-gWUrRIqdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30.00㎡,丘舒晴,时代公寓,丘舒晴,900元/月
免中介 随时看房 五马街酒店式公寓 24小时专人管理安全可靠,https://wz.58.com/zufang/83249217448154x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwF0NtkthP_xh18AGYOgCwS0SLRFNIIcXvYWJ_0-lqMoQmZlGOcGRCwRJZJBTksbfR6KiaEiZBZ58QJIqEvvt2ewzd7j4ff11q8_fE3MpRC8cPPbbyu1Sh4uRyfvdr-BX5dyFJ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,金鹰大楼,唐小攀,1000元/月
,,,,,,,
免中介 五马街 公园路附近  租金灵活  随时看房,https://wz.58.com/zufang/83249338539866x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw6DMAwA0Ntkdoydz-ADMPcAlVVHQCUIbYhQb0831ie9tpj4TNEz-ISYPTMxD4RAQ0R0c-2tjCYEHCBiSBkoB0DXZt2mT9dNzr7qeymm9cb_iJzAmR76qP37KgJO7Xn89iL7BUAhRZ51AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,公园路158弄小区,唐小攀,1000元/月
,,,,,,,
免中介 自己公寓随时看房 五马街 公园路 蝉街 纱帽河附近,https://wz.58.com/zufang/83248474388829x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdp04jgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpOMUOJwoIoE1EigJhEJAOHpY1eL64JiCQjMOeCDBj6Ytv8GrbpZzztsVa3duJ_MBUIbodd23jfq0Iwvx3fver-A78BRuh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,康乐坊,唐小攀,1000元/月
免中介费出租车站大道时代广场财富中心恒隆广场万顺大厦附近公寓,https://wz.58.com/zufang/83417587540314x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkdpw4MYMPwNwDVBaOCpUgtCFCvT1sXb_eb4uJB0oeAQlx8EQxcgoZgZGDm2tvZTSJkHMCviEMIYXo2qzb69N1k7Ov-l6Kaf3H-8jE4EwPfdT-nYqAU3sev73IfgFkwEsQdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,"亿旺房产                            
                                                    
                                                                王文静",时代公寓,王文静,1000元/月
免中介费好停车可养宠物时代广场车站大道财富恒隆火车站附近公寓,https://wz.58.com/zufang/83415491071323x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7CMAwA0Ntkduw4MYMPwMwBkIWjfiSaQhpV3B421ie9vrhG4BwRkBEvkTklyVQQBIXC3EavV9cEpVACjAQsnCn02bbpNWzTczxtXapb--NvFBYIbofd2ng_qkIwvx-fver-Bf8Vkop1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,"亿旺房产                            
                                                    
                                                                林俊烽",时代公寓,林俊烽,980元/月
免中介费可养宠物时代广场车站大道恒隆广场附近多套精装公寓,https://wz.58.com/zufang/83417457646301x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kth0bN4MfwMwDkIUjWiSaQhpV_B421pOuL2FYWFEAJ6KCIiySmYCzEqW5jV7PYQyqUrBkPoFmhdRnX--v4asd4-mPpYa3P_6GygQpfPdLG-9bNUge1_2zVdu-G4-Eo3UAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,"亿旺房产                            
                                                    
                                                                林俊烽",时代公寓,林俊烽,980元/月
免中介费时代广场，财富中心，车站大道锦绣路附近精装修单身公寓,https://wz.58.com/zufang/83158602563418x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAwAwN9kdhKbOIMfwNwHVFYdAZUgQIiq_r7dWE-6tph4z5QyxxxC9kSIKURPQEOMbq69ldEEARGJkREIMg6uzbpNR9dNPn3V91JM643_kYjBmV76qP18FQGn9ry-e5H9B17Rcyh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,"亿旺房产                            
                                                    
                                                                王文静",时代公寓,王文静,1000元/月
